_id,username,year,month,income.Salary,income.Part-time,income.Allowance,income.Petty cash,income.Other,income.Rental Income,expenses.Utilities,expenses.Groceries,expenses.Gift,expenses.Beauty,expenses.Education,expenses.Social Life,comments[0],comments[1],comments[2],comments[3],comments[4],comments[5],comments[6],comments[7],comments[8],comments[9],comments[10],comments[11],comments[12],comments[13],comments[14],comments[15],comments[16],comments[17],comments[18],comments[19],comments[20],comments[21],comments[22],comments[23],comments[24],comments[25],comments[26],comments[27],comments[28],comments[29],comments[30],comments[31],comments[32],comments[33],comments[34],comments[35],comments[36],comments[37],comments[38],comments[39],comments[40],comments[41],comments[42],comments[43],comments[44],comments[45],comments[46],comments[47],comments[48],comments[49],comments[50],comments[51],comments[52],comments[53],comments[54],comments[55],comments[56],comments[57],comments[58],comments[59],comments[60],comments[61],comments[62],comments[63],comments[64],comments[65],comments[66],comments[67],comments[68],comments[69],comments[70],comments[71],comments[72],comments[73],comments[74],comments[75],comments[76],comments[77],comments[78],comments[79],comments[80],comments[81],comments[82],comments[83],comments[84],comments[85],comments[86],comments[87],comments[88],comments[89],comments[90],comments[91],expenses.Transportation,expenses.Apparel,expenses.Rent,expenses.Household,expenses.Food,expenses.Car,expenses.Self-development,expenses.Other,expenses.Movie,key,income.Object,income[0],income[1],income[2],income[3],income[4],income[5],comment,income.Part-Time,comments,income.Pocket Money,income.Other Income,expenses.Trip,expenses.Transport,expenses.Other Expenses,income.Trading,expenses.Parties,income.,expenses.,expenses.Gifts,expenses.Grocery,expenses.Credit-card,expenses.Travel,expenses.Shopping
655154a8bd3566023058259b,angeladennis,2015,June,2942.87,1093.88,2092.47,842.28,1167.77,416.07,2327.95,4172.25,2573.06,2491.82,338.44,1976.2,Maybe just list bar.,Yes huge situation speak technology.,Main game report relationship of sister place.,Bad government culture.,Just heart green each.,Apply machine market unit know.,Police throw plan line your.,Assume federal field risk exist anyone eat peace.,Want magazine fact final.,Ok stand into try offer city.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825b3,angeladennis,2017,June,3157.54,2202.91,3674.19,2608.75,3910.57,,2837.98,,3314.65,,4535,1960.53,Beat movie spend administration.,Movement memory course once someone figure cold same.,Recognize audience similar parent natural issue skin.,Bill feel time score son something.,Outside item sport measure dark project offer.,Experience us training return.,Forget trial her five tell organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825a5,angeladennis,2016,January,,,,,865.88,2652,,,,,,,Surface still computer it a run.,Officer something know else speech.,Wind never sing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350.21,3202.36,4986.92,3261.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825ab,angeladennis,2016,October,,1537.96,4208.67,2400.68,,4077.7,,,,,,,Specific section positive movement catch hard take.,Free think interest father entire food so.,Ability standard program reach significant sing begin.,Support but until dream dream.,House without lay.,Sound argue especially paper.,Five team establish machine coach month.,In education director same.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.18,,2035.43,1171.54,689.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825b1,angeladennis,2017,January,,,3929.92,225.49,,2967.12,,,,3523.02,4746.48,689.59,Process political close study necessary.,Day like free stock standard pick everything.,Director these she campaign use.,Stuff however determine reduce establish.,Affect truth at check.,Look special everyone father song long in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.38,4167.74,,,,3044.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825b9,angeladennis,2018,April,2734.41,3349.92,3249.9,1082.56,,,3880.97,,4489.95,731.15,2478.19,,Risk too you.,Throughout cost similar move able.,Win well pass yard buy market.,Water herself spring executive manager although.,Enter question thought both.,Reality well total Democrat medical kitchen.,Condition what dog large less.,Ball poor human modern design.,Detail step hard only gas nearly large.,Crime still control agency property.,Ball sport court side.,Front gun attorney wife society full various perform.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.68,1791.76,2785.11,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825c4,angeladennis,2018,September,3910.14,1866.28,2192.24,3285.43,733.31,4278.8,3680.41,,3295.81,,,382.99,Boy natural expert responsibility recently network.,Ten from picture leave.,Public worker television rest doctor subject write.,Owner public peace lose.,Air policy watch kid her concern.,Student provide system send course what hear issue.,Answer car room else west.,Camera many doctor hand.,Of main them short sure friend article.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.55,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825cb,angeladennis,2019,June,,3442.32,4564.9,1871.64,,,,4105.37,3968.46,,,,Build among evidence position.,Manage south religious his senior student ability.,Garden left us still author.,Administration old keep.,Method information gas.,Available account strong value agent rate trouble.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.69,,,,3124.83,3068.13,802.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825cc,angeladennis,2019,March,986.38,,1613.34,,,1051.84,3237.11,1163.38,,,,4214.26,Perform trip smile treat long.,Buy scientist the.,Again want attention deal plan billion happen he.,Employee actually style score force approach leader.,Image care today six many capital.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.38,,,,,,2836.48,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825dc,angeladennis,2020,September,4318.77,,4367.03,3528.27,,,,,,70.3,,3532.79,Away newspaper thank center should probably.,Wrong money democratic really TV class.,Media environment long author threat establish pretty soldier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.77,,,,173.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825e1,angeladennis,2021,January,4627.04,1217.06,4356.89,,2924.12,3484.36,,1328.47,,,,3247.11,Case sell despite hour determine film.,Energy become first hospital.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.58,,,,,570.49,1961.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825e6,angeladennis,2021,November,4386.81,1334.43,,2619.72,982.59,2351.93,946.88,,,,623.49,,Letter main clearly employee prove maintain.,Issue federal lay actually property lay.,Fill situation suggest couple player still chance.,Yard player term describe church.,Card article now management.,Significant fine his life side dark.,Late century moment some.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938.39,,,,,4142.87,2268.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825e7,angeladennis,2021,October,,4152.56,,3636.67,,4708.42,,,4471.09,111.03,3198.99,,Ten ok end because lose final.,Of coach explain.,Sense candidate rule road cultural PM.,Important word yourself.,Item just nor approach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.49,,,,,444.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825ea,angeladennis,2022,August,11.42,,3450.32,160.58,1278.82,,,94.6,,4986.39,,2372.65,Only form hear leave maybe mind.,Quality one practice.,Bed night sort study occur black.,Professor skin thing president source animal.,Suffer reason body school how.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.82,3326.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
